name,url
"Навчально-науковий інститут біології, хімії та біоресурсів",http://ibhb.chnu.edu.ua/
Навчально-науковий інститут фізико-технічних та комп’ютерних наук,http://ptcsi.chnu.edu.ua/
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",http://arhibud.chnu.edu.ua/index.php?page=ua
Географічний факультет,http://geo.chnu.edu.ua/index.php?page=ua
Економічний факультет,https://econom.chnu.edu.ua/
Факультет іноземних мов,https://mel.chnu.edu.ua/
"Факультет історії, політології та міжнародних відносин",http://history.chnu.edu.ua/index.php?page=ua
Факультет математики та інформатики,https://fmi.chnu.edu.ua/
"Факультет педагогіки,  психології та соціальної роботи",http://webchnunew.kl.com.ua/
Факультет фізичної культури та здоров'я людини,http://fizkult.chnu.edu.ua/
Філологічний факультет,http://philology.chnu.edu.ua/
Юридичний факультет,https://law.chnu.edu.ua/
Відокремлений структурний підрозділ «Фаховий коледж Чернівецького національного університету імені Юрія Федьковича»,http://college-chnu.cv.ua/
Кафедра публічного права,https://law.chnu.edu.ua/public-law/
Кафедра приватного права,https://law.chnu.edu.ua/private-law/
Кафедра процесуального права,https://law.chnu.edu.ua/procedural-law/
Кафедра кримінального права,https://law.chnu.edu.ua/criminal-law/
Кафедра міжнародного права,https://law.chnu.edu.ua/european-law/
Кафедра теорії права та прав людини,https://law.chnu.edu.ua/human-rights/
Кафедра англійської мови,http://english.chnu.edu.ua
"Кафедра германського, загального і порівняльного мовознавства",http://deutsch.chnu.edu.ua
Кафедра іноземних мов для гуманітарних факультетів,http://liberal1.chnu.edu.ua
Кафедра іноземних мов для природничих факультетів,http://natural1.chnu.edu.ua
Кафедра комунікативної лінгвістики та перекладу,http://translationdept.chnu.edu.ua
Кафедра романської філології та перекладу,http://french.chnu.edu.ua
Кафедра англійської мови,http://english.chnu.edu.ua
"Кафедра германського, загального і порівняльного мовознавства",http://deutsch.chnu.edu.ua
Кафедра іноземних мов для гуманітарних факультетів,http://liberal1.chnu.edu.ua
Кафедра іноземних мов для природничих факультетів,http://natural1.chnu.edu.ua
Кафедра комунікативної лінгвістики та перекладу,http://translationdept.chnu.edu.ua
Кафедра романської філології та перекладу,http://french.chnu.edu.ua
Кафедра алгебри та інформатики,https://algebra.chnu.edu.ua/
